basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
3926590,ca.proc.d.1992-12-08.1,1992-12-08,,,,topic,OFFICIAL REPORT,,,,,,,
3926591,ca.proc.d.1992-12-08.1.1.1,1992-12-08,,,,stagedirection,,,,THIRD SESSION-THIRTY-FOURTH PARLIAMENT 41-42 Elizabeth II,,,,
3926592,ca.proc.d.1992-12-08.1.2,1992-12-08,,,,subtopic,OFFICIAL REPORT,"VOLUME XII, 1993 COMPRISING THE PERIOD FROM THE EIGHTH DAY OF DECEMBER, 1992 TO THE SEVENTEENTH DAY OF FEBRUARY, 1993 INDEX ISSUED IN A SEPARATE VOLUME",,,,,,
3926593,ca.proc.d.1992-12-08.1.2.1.1,1992-12-08,,,,stagedirection,,,,"Published under authority of the Speaker of the House of Commons by the Queen's Printer for Canada
Available from Canadian Communication Group - Publishing, Supply and Services Canada. Ottawa. Canada K1A 0S9.",,,,
3926594,ca.proc.d.1992-12-08.1.2.1.2,1992-12-08,,,,stagedirection,,,,"Tuesday, December 8, 1992",,,,
3926595,ca.proc.d.1992-12-08.1.2.1.3,1992-12-08,,,,stagedirection,,,,Prayers,,,,
3926596,ca.proc.d.1992-12-08.2,1992-12-08,,,,topic,ROUTINE PROCEEDINGS,,,,,,,
3926597,ca.proc.d.1992-12-08.2.1.1,1992-12-08,,,,stagedirection,,,,[English ],,,,
3926598,ca.proc.d.1992-12-08.2.2,1992-12-08,,,,subtopic,ROUTINE PROCEEDINGS,ORDER IN COUNCIL APPOINTMENT,,,,,,
3926599,ca.proc.d.1992-12-08.2.2.1.1,1992-12-08,67f94ff8-9189-41ff-b492-144787d47708,ca.m.9849,Hon. Frank Oberle (Minister of Forestry):,Minister of Forestry,ROUTINE PROCEEDINGS,ORDER IN COUNCIL APPOINTMENT,TABLING OF CERTIFICATE OF NOMINATION,"Mr. Speaker, I have the honour this morning under Standing Order 110(2) to table a certificate of nomination in the Chamber.

",Progressive Conservative,,Frank Oberle,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=67f94ff8-9189-41ff-b492-144787d47708&Language=E&Section=ALL
