# timestamp,user_a,user_b,rssi
1217400,55,52,-57
1217400,58,37,-58
1217400,111,58,-48
1217400,578,176,-36
1217700,55,52,-55
1217700,578,176,-35
1217700,632,285,-59
1218000,55,52,-53
1218000,503,223,-58
1218000,578,176,-36
1218300,55,52,-54
1218300,359,78,-56
1218300,578,176,-37
1218600,78,55,-57
1218600,510,274,-56
1218600,578,176,-34
1218600,593,71,-54
1218900,78,52,-58
1218900,217,3,-55
1218900,503,223,-58
1218900,578,176,-35
1219200,55,52,-52
1219200,149,52,-53
1219200,217,3,-56
1219200,249,100,-59
1219200,479,440,-46
1219200,510,440,-53
1219200,578,176,-36
1219500,479,440,-59
1219500,578,176,-36
1219800,578,176,-36
1220100,217,3,-57
1220100,559,204,-55
1220100,578,176,-37
1220400,123,78,-57
1220400,455,129,-59
1220400,578,176,-36
1220400,624,445,-58
1220700,177,100,-47
1220700,485,440,-53
1220700,578,176,-36
1221000,177,100,-50
1221000,256,229,-42
1221000,578,176,-36
1221000,632,285,-58
1221300,578,176,-35
1221300,632,285,-58
1221600,559,64,-57
1221600,578,176,-36
1221600,632,285,-50
1221900,578,176,-36
1221900,632,285,-54
1222200,578,176,-35
1222500,578,176,-34
1222800,177,100,-46
1222800,249,177,-59
1222800,578,176,-37
1223100,177,100,-47
1223100,249,177,-59
1223100,578,176,-35
1223400,177,100,-46
1223400,249,177,-58
1223400,578,176,-36
1223700,177,100,-46
1223700,578,176,-35
1224000,578,176,-35
1224300,578,176,-35
1224300,632,285,-57
1224600,578,176,-35
1224900,578,176,-35
1225200,578,176,-35
1225500,578,176,-36
1225500,632,285,-57
1225800,578,176,-36
1226100,578,176,-35
1226400,578,176,-36
1226700,578,176,-35
1227000,578,176,-35
1227000,593,71,-49
1227300,578,176,-36
1227600,578,176,-35
1227900,69,58,-59
1227900,151,56,-58
1227900,491,208,-59
1227900,578,176,-34
1227900,593,71,-55
1228200,69,58,-57
1228200,491,208,-59
1228200,578,176,-36
1228200,593,71,-58
1228500,69,58,-59
1228500,491,208,-59
1228500,578,176,-35
1228800,69,58,-59
1228800,578,176,-34
1228800,593,71,-57
1229100,578,176,-35
1229400,491,208,-59
1229400,578,176,-35
1229700,578,176,-34
1230000,578,176,-36
1230300,578,176,-35
1230600,578,176,-35
1230900,69,58,-58
1230900,491,208,-59
1230900,578,176,-36
1231200,69,58,-58
1231200,578,176,-36
1231200,599,568,-54
1231500,578,176,-35
1231800,578,176,-35
1232100,322,321,-58
1232100,578,176,-36
1232400,578,176,-35
1232700,578,176,-34
1233000,578,176,-36
1233300,578,176,-36
1233600,578,176,-36
1233900,578,176,-36
1234200,578,176,-35
1234500,578,176,-34
1234800,568,476,-59
1234800,578,176,-37
1235100,578,176,-35
1235400,49,48,-56
1235400,578,176,-36
1235700,578,176,-36
1236000,578,176,-35
1236300,91,90,-56
1236300,578,176,-36
1236600,91,90,-58
1236600,491,208,-59
1236600,578,176,-44
1236900,91,90,-55
1236900,578,176,-44
1237200,91,90,-55
1237200,578,176,-58
1237500,91,90,-55
1237500,578,176,-56
1237800,91,90,-54
1237800,382,218,-43
1237800,578,176,-55
1238100,382,218,-41
1238100,578,176,-57
1238400,91,90,-57
1238400,578,176,-56
1238400,688,152,-54
