i,j,weight
279,617,2866
176,578,1784
20,21,875
296,481,864
90,91,843
136,137,626
274,632,477
93,481,452
289,578,388
299,512,379
218,382,364
278,335,348
48,49,321
391,617,282
237,299,245
36,37,242
172,640,226
104,288,225
3,357,221
465,569,200
141,176,193
164,304,189
390,683,186
419,557,186
39,622,180
119,175,158
300,301,148
139,546,148
623,651,148
474,639,143
0,512,137
331,707,134
268,521,133
102,364,133
179,193,126
405,688,125
149,448,123
144,560,120
194,294,118
115,475,117
114,376,117
122,175,117
47,449,116
652,677,113
12,492,113
33,242,111
202,697,110
340,601,107
472,485,107
480,556,106
379,584,104
109,308,102
36,512,102
152,688,102
634,681,97
151,578,96
4,266,96
120,314,95
560,736,93
23,51,89
507,615,88
3,49,81
6,27,79
314,527,78
178,271,72
474,703,72
300,371,71
359,560,70
420,495,70
221,324,69
354,666,69
405,682,69
18,570,68
531,548,66
37,301,65
13,492,63
335,414,62
250,531,61
218,772,60
133,744,59
49,171,57
95,551,57
85,106,57
166,485,56
289,752,56
586,774,55
36,401,55
470,678,55
535,614,54
152,405,54
288,401,53
192,203,53
147,492,52
121,288,51
61,274,51
163,164,50
321,322,50
36,524,49
489,653,49
18,488,48
399,469,48
166,272,47
225,337,47
208,448,46
67,785,46
96,780,45
334,607,45
170,213,44
145,146,44
12,13,44
133,299,44
351,541,44
146,611,43
146,458,43
158,688,43
180,586,43
551,640,42
567,676,41
97,141,41
388,506,41
90,358,41
55,512,40
235,645,40
4,221,40
297,374,40
561,631,40
409,448,40
51,75,39
116,628,39
157,772,39
5,802,38
208,491,38
140,830,38
388,481,38
257,331,38
499,698,38
176,611,37
557,558,37
266,424,36
225,574,35
146,176,35
413,661,35
339,379,34
344,670,34
444,482,34
401,457,34
207,736,34
250,548,34
370,512,33
358,521,33
95,640,32
100,218,32
291,477,32
76,588,32
105,175,32
356,448,32
424,785,31
242,276,31
505,572,31
368,617,31
260,459,30
195,388,30
212,397,30
92,386,30
131,280,30
19,595,30
441,580,30
4,424,30
363,683,30
100,743,29
97,578,29
13,583,29
378,476,29
188,246,29
14,421,28
572,665,28
351,677,28
85,446,28
73,136,28
403,543,27
243,714,27
671,813,27
436,522,27
358,485,27
225,436,27
79,201,27
37,69,26
75,154,26
249,268,26
197,227,26
49,357,25
108,798,25
100,177,25
200,390,25
52,294,25
155,645,25
98,420,25
401,666,25
19,47,24
173,466,24
210,356,24
383,682,24
109,457,24
15,100,24
214,430,24
179,656,24
46,484,23
342,372,23
164,494,23
554,638,23
197,225,23
254,564,23
272,415,23
513,653,23
235,786,23
89,341,22
580,759,22
174,227,22
