i j weight
3 28 2
3 106 1
3 147 4
3 177 1
3 295 4
3 407 2
15 21 4
15 48 4
15 200 4
15 211 3
15 242 3
15 480 3
15 771 3
15 791 3
15 826 4
15 845 4
20 634 4
21 15 2
21 200 3
21 826 3
28 295 4
28 327 4
28 407 4
28 441 4
28 478 4
45 48 4
45 79 4
45 134 1
45 232 1
45 601 2
48 45 4
48 79 3
48 488 2
62 650 3
65 681 4
65 809 4
79 45 4
79 601 2
87 134 4
87 211 4
87 242 4
87 388 4
87 488 4
87 496 1
87 826 4
89 120 4
89 232 4
89 285 4
89 488 4
101 119 2
101 240 2
101 364 2
101 425 4
106 272 4
106 587 3
106 1214 2
119 101 1
119 122 4
119 240 2
119 425 3
120 89 3
120 232 3
120 488 3
122 119 4
124 471 1
124 475 2
124 681 1
124 970 1
134 87 1
134 388 4
134 496 2
145 62 2
145 122 3
145 400 1
145 428 1
145 489 4
145 650 2
145 945 1
147 3 4
147 28 2
147 106 1
147 407 2
151 156 4
151 502 2
151 694 4
151 753 4
151 866 4
151 1359 1
156 454 1
156 694 1
159 201 4
159 454 4
159 640 4
159 642 4
165 268 4
165 498 3
170 272 4
170 494 1
170 778 2
173 295 4
173 429 4
173 441 4
177 400 4
177 407 3
177 809 2
177 857 3
177 945 4
200 15 4
200 21 4
200 448 3
200 601 4
200 751 4
200 826 4
201 245 4
201 582 2
210 89 4
210 120 2
210 200 4
210 232 4
210 285 2
210 468 3
210 751 4
210 845 3
211 242 4
211 468 4
211 488 4
211 845 4
232 89 4
232 120 3
232 285 3
232 488 3
240 101 3
240 425 3
242 87 4
242 211 4
242 388 4
242 468 4
242 480 4
242 791 4
245 201 4
245 502 2
245 691 4
245 869 4
245 1237 3
245 1423 2
255 122 4
255 275 4
265 364 4
265 494 4
265 587 4
268 28 3
268 165 4
268 407 3
268 504 4
272 106 4
272 372 2
275 255 4
275 650 2
285 89 3
285 120 4
285 232 3
285 468 4
285 488 3
285 845 4
295 28 2
295 954 2
327 28 4
327 295 4
327 372 1
327 478 4
364 101 3
364 265 4
364 268 3
364 425 3
364 650 3
372 272 2
372 429 3
372 441 2
372 478 4
388 45 2
388 79 2
388 87 3
388 134 4
388 496 4
400 145 1
400 177 4
400 407 2
400 428 1
