i j facebook_binary
1 984 0
1 883 1
1 941 0
1 650 0
1 132 1
1 601 0
1 63 0
1 1214 0
1 339 1
1 653 1
1 213 0
1 545 1
1 214 0
1 181 0
1 325 0
1 520 0
1 1594 0
1 777 0
1 428 0
1 190 0
1 447 0
1 763 0
1 448 0
1 171 1
1 923 0
1 117 1
1 65 0
1 196 1
1 274 0
1 487 0
1 587 1
1 372 1
1 147 1
1 80 0
1 945 0
1 1828 0
1 488 0
1 55 1
1 353 0
1 429 0
1 440 0
1 954 0
1 346 0
1 525 0
1 859 1
1 106 1
1 201 0
1 871 0
1 504 1
1 471 1
1 275 0
1 425 1
1 170 1
1 939 1
1 634 0
1 70 0
1 1339 0
1 1212 0
1 387 0
1 272 1
1 725 0
1 124 0
1 184 0
1 3 1
1 544 0
1 441 0
1 85 0
1 280 0
1 145 0
1 119 1
1 991 0
1 494 1
1 202 0
1 649 0
1 149 0
1 1218 0
1 857 0
1 62 0
1 205 1
1 265 1
1 9 0
1 779 1
1 364 1
1 240 1
1 477 1
1 101 1
1 343 0
1 884 1
3 504 1
3 171 1
3 871 0
3 119 0
3 214 0
3 545 1
3 494 0
3 147 1
3 85 0
3 487 0
3 106 0
3 488 0
3 205 0
3 9 0
3 190 0
3 649 0
3 441 1
3 477 1
3 939 0
3 859 0
3 425 0
3 124 0
3 779 0
3 149 0
3 265 0
3 202 0
3 117 0
3 429 0
3 170 0
3 275 0
3 272 1
3 587 0
3 857 0
3 653 1
3 1212 0
3 883 0
3 544 0
3 884 1
3 447 0
3 55 0
3 471 1
3 213 0
3 101 0
3 339 0
3 372 1
3 196 0
3 1594 0
3 1339 0
9 170 0
9 213 0
9 634 0
9 147 0
9 196 0
9 1828 0
9 494 0
9 1339 0
9 1212 0
9 387 0
9 124 0
9 441 0
9 171 0
9 487 0
9 214 0
9 274 0
9 884 0
9 871 0
9 504 0
9 364 0
9 117 0
9 1594 1
9 859 0
9 488 1
9 201 0
9 544 0
9 939 0
9 471 1
9 275 0
9 205 0
9 265 0
9 190 1
9 425 0
9 649 0
9 272 1
9 101 0
9 779 1
9 85 0
9 1214 0
9 429 0
9 653 0
9 55 1
9 202 0
9 545 0
9 106 1
9 149 0
9 119 0
9 447 0
9 339 0
9 372 0
9 883 0
9 857 0
9 587 0
9 520 0
9 477 0
9 325 1
9 280 0
14 634 0
14 1784 0
14 991 0
14 149 0
14 687 0
14 1238 0
14 106 0
14 582 0
14 1260 0
14 219 0
14 232 1
14 520 1
14 387 0
14 1594 0
14 1543 0
14 101 0
14 181 0
14 753 0
14 274 0
14 290 0
14 491 0
14 576 0
14 866 0
14 959 0
14 65 1
14 605 1
14 621 1
14 642 0
