vote,spend,state,districts,dem_inc,rep_inc,pvi
-110424,-1853145.17,Louisiana,5,0.0,0.0,-15
142997,844317.53,Vermont,0,1.0,0.0,15
87490,994256.62,Hawaii,2,0.0,0.0,19
80046,11428704.81,New York,17,0.0,0.0,7
65679,1634476.18,Texas,33,1.0,0.0,23
-84589,-1250214.46,Michigan,2,0.0,1.0,-9
-4584,3280155.7100000004,Texas,24,0.0,0.0,-9
-150607,-635028.6400000001,Utah,3,0.0,1.0,-25
-161092,-1507923.56,Kentucky,2,0.0,1.0,-19
208706,751090.37,Michigan,14,1.0,0.0,30
-91683,-181107.09999999986,New Jersey,4,0.0,1.0,-8
169894,3380134.9899999998,Michigan,13,1.0,0.0,32
40625,2723852.22,New York,19,1.0,0.0,-2
-3765,-1271147.88,Utah,4,1.0,0.0,-13
-87413,-196257.15,Colorado,5,0.0,1.0,-14
-61937,-1361239.3599999999,Kentucky,6,0.0,1.0,-9
139087,409712.53,Tennessee,9,1.0,0.0,28
-28617,-1718530.8899999997,Missouri,2,0.0,1.0,-8
20447,1166407.0,New Hampshire,1,1.0,0.0,-2
46755,1048282.6,New York,4,1.0,0.0,4
-52046,-1570758.22,New York,23,0.0,1.0,-6
-23133,2101920.3499999996,New York,2,0.0,0.0,-3
77022,884008.7000000001,Michigan,9,1.0,0.0,4
-27538,1773724.52,Ohio,1,0.0,1.0,-5
27320,959490.59,Texas,34,1.0,0.0,10
-44454,-13334023.059999999,Texas,2,0.0,1.0,-11
-149349,-818295.6900000001,Tennessee,7,0.0,1.0,-20
-26512,1508210.8400000003,Colorado,3,0.0,1.0,-6
93205,2154140.11,Connecticut,4,1.0,0.0,7
-117884,-308630.15,Tennessee,3,0.0,1.0,-18
-34929,1066299.58,New York,24,0.0,1.0,3
-121819,-949432.9299999999,Michigan,4,0.0,1.0,-10
84990,1182941.73,Delaware,0,1.0,0.0,6
233004,2046834.9,Oregon,3,1.0,0.0,24
77642,887326.41,Connecticut,2,1.0,0.0,3
63378,580791.6799999999,Nevada,1,1.0,0.0,15
122919,827744.1399999999,Texas,18,1.0,0.0,27
-49226,-654564.2200000002,Minnesota,7,1.0,0.0,-12
33513,4955299.8100000005,New Jersey,3,1.0,0.0,-2
95578,368005.76,Texas,35,1.0,0.0,15
-54742,-4593741.61,North Carolina,11,0.0,0.0,-14
134378,589487.7000000001,Colorado,2,1.0,0.0,9
-129326,-1060344.63,Tennessee,8,0.0,1.0,-19
-170165,-1142135.6400000001,Louisiana,6,0.0,1.0,-19
20675,-495727.1599999992,Texas,32,1.0,0.0,-5
-119156,-2931280.4000000004,Wyoming,0,0.0,1.0,-25
16173,378488.7399999993,Nevada,4,1.0,0.0,3
158553,694363.18,New York,7,1.0,0.0,38
212012,1411873.04,New York,13,1.0,0.0,43
75122,1824965.6300000004,Colorado,6,1.0,0.0,2
94221,8672741.549999999,New York,14,1.0,0.0,29
-12,2745656.3100000005,New York,22,1.0,0.0,-6
-102638,-1014658.4599999998,Louisiana,4,0.0,1.0,-13
-36402,-204991.8600000001,Texas,31,0.0,1.0,-10
12446,791369.4300000002,Nevada,3,1.0,0.0,-2
116292,847799.45,New Jersey,12,1.0,0.0,16
91224,1197487.5299999998,Colorado,7,1.0,0.0,6
-149294,-1488976.82,Texas,36,0.0,1.0,-26
39403,2442287.9800000004,New Hampshire,2,1.0,0.0,2
45827,1400681.44,Michigan,5,1.0,0.0,5
46624,1985023.6999999997,New York,3,1.0,0.0,1
159741,448148.43000000005,Florida,24,1.0,0.0,34
-111661,-312127.98,Colorado,4,0.0,1.0,-13
-130205,-673073.51,Louisiana,3,0.0,1.0,-20
80313,-1279789.2700000003,Florida,21,1.0,0.0,9
-21677,1204848.1799999997,New Jersey,2,0.0,1.0,-1
70198,1198558.4999999998,New York,25,1.0,0.0,8
139421,3490914.52,New York,10,1.0,0.0,26
42071,617118.3200000001,New York,18,1.0,0.0,-1
-126517,-1026836.04,Idaho,2,0.0,1.0,-17
106001,658887.6299999999,Massachusetts,9,1.0,0.0,4
-79485,-1312401.1199999999,New York,27,0.0,1.0,-11
-59411,-286843.13000000035,Michigan,6,0.0,1.0,-4
-118952,-961207.61,Indiana,8,0.0,1.0,-15
