speakeroldname,speechtext,speakerparty,speakerriding,speakername
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, Canadians need to be assured that the government is doing everything it can do and everything it must do to keep them safe in their homes, in their cities, at the airport, and aboard planes. We are working with great diligence to ensure that there are no safety concerns at our airports and that Canadians remain safe in their travels.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, it is very clear that we support the Canadian law enforcement agencies in their important work in keeping Canadians safe. We know we have to keep Canadians safe from threats of terror. That is why, whether we are talking about Canadians in their homes, in their cities, or in airports and air travel, we will do everything to make sure Canadians are safe. That is one of the fundamental responsibilities of any Canadian government. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we know how important the aerospace industry is to economic growth across the country, good jobs for the middle class, and the economic growth that the Conservative government could not provide for Canadians.
With regard to Bombardier, we gave the company a loan to support the C Series and Global 7000 aircraft projects. That will create jobs for Canadians. I am glad to see that Bombardier took action when it saw that Canadians and the government were concerned about its decision.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am happy to correct the member opposite. We made a loan to Bombardier, a repayable loan, that will ensure good jobs in the C Series and in the Global 7000, and assure the long-term viability of the aerospace industry in Canada, which leads to good jobs and economic growth which the previous government was not able to deliver.
We are obviously not pleased with the decision that Bombardier made around its remuneration for its executives, but we are happy to see it make decisions that are fixing that for the confidence of Quebeckers and Canadians. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I can understand the member opposite's attachment to the public transit tax credit. It is the only thing her previous government did for transit. Instead, we are investing $25 billion over the next 10 years in public transit. We are also committed to evidence-based policy. 
When what the member promised would happen did not happen, which was it was not an incentive that led to more public transit ridership, we looked for other ways to invest in public transit that would help everyone, including and especially low-income transit users. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we made a long-term loan to Bombardier that will be repayable. It was focused on creating jobs and securing the C Series and the Global 7000, which will lead to economic growth and positive job creation for the middle class in communities across this country. We know that the aeronautic industry is important for future growth in this country, and that is why we were happy to extend this loan to Bombardier.
We are, however, also pleased to see that it is moving forward on responding to legitimate preoccupations that Canadians had about their compensation structures.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are standing up for the good jobs that Bombardier created in connection with the C Series and Global 7000 projects thanks to the loan we gave the company.
We know that we need to support Canada's aerospace industry because it is a source of good jobs and economic growth. However, we are also very happy to see that Bombardier has remedied the situation regarding compensation for its executives.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","On the contrary, Mr. Speaker, with our pan-Canadian framework, an historic accord negotiated with all provinces, we have, for the first time in Canadian history, presented a concrete plan to deliver on climate change targets. We are going to make concrete emissions reductions while at the same time making steps to export our resources to markets. Building both a strong economy and a protected environment is the commitment we made to Canadians. That is a commitment we are keeping.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, once again the member seems to be having trouble with the facts.
The department's analysis was based on the former government's failure to implement any measures. Since then, we have put in place a pan-Canadian framework that will enable us to deliver on our greenhouse gas reduction targets while, at the same time, creating jobs and building a better future for all Canadians. We can protect the environment while building a prosperous economy, and that is what we are doing.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, on the contrary, we are proud of our choices to help the middle class. We raised taxes for the wealthiest 1% so that we could lower them for the middle class. We created a Canada child benefit that gives more money to nine out of ten families and will lift 40% or hundreds of thousands of children out of poverty.
Every day, we are working for the middle class and those working hard to join it. We will continue to make choices that will help people across the country.",Liberal,Papineau,Justin Trudeau
