v54,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v97,v121,v126,v142,v143,v145,v208,v211,v170,v184,v185,v198,v226,v261_ppp,country
7.0,1.0,3.0,1.0,2.0,7.0,6.0,8.0,6.0,7.0,6.0,5.0,6.0,7.0,4.0,5.0,4.0,3.0,2.0,10.0,7.0,2.0,2.0,5.0,2.0,5.0,6.0,1.0,1972.0,0.94763806,Albania
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,3.0,9.0,1.0,1993.0,0.857570739,Albania
7.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,4.0,4.0,10.0,1.0,4.0,1.0,4.0,1.0,4.0,10.0,1.0,1958.0,0.284048992,Albania
4.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,5.0,10.0,1.0,8.0,4.0,4.0,4.0,10.0,1.0,1.0,3.0,5.0,1.0,4.0,10.0,1.0,1959.0,1.573384061,Albania
4.0,1.0,1.0,1.0,10.0,10.0,3.0,10.0,10.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,10.0,3.0,4.0,4.0,3.0,1.0,5.0,9.0,1.0,1998.0,1.573384061,Albania
4.0,1.0,1.0,1.0,2.0,3.0,3.0,8.0,5.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,4.0,3.0,10.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,1.0,1997.0,0.094340588,Albania
7.0,1.0,5.0,1.0,1.0,3.0,7.0,6.0,7.0,1.0,6.0,1.0,6.0,10.0,3.0,10.0,2.0,4.0,3.0,10.0,2.0,3.0,1.0,5.0,1.0,3.0,5.0,6.0,1969.0,0.47219601,Albania
3.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,4.0,2.0,3.0,3.0,10.0,4.0,4.0,3.0,5.0,1.0,3.0,5.0,9.0,1955.0,0.638935604,Albania
3.0,1.0,1.0,1.0,1.0,10.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,2.0,10.0,1.0,4.0,2.0,5.0,3.0,3.0,3.0,1.0,1966.0,0.094340588,Albania
7.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,10.0,10.0,4.0,1.0,5.0,1.0,5.0,10.0,1.0,1958.0,0.638935604,Albania
